%time,field.x,field.y,field.z
1607254254941971063,-8.49747467041,-5.21245479584,1.57491636276
1607254254946640014,-8.4978723526,-5.21229076385,1.5747885704
1607254254952564954,-8.49829387665,-5.21212816238,1.57464635372
1607254254956163883,-8.49951076508,-5.21200180054,1.57542848587
1607254254968233108,-8.49999046326,-5.21186113358,1.57532465458
1607254254968393087,-8.50047206879,-5.21171045303,1.57521879673
1607254254971230983,-8.50098419189,-5.21157598495,1.57511723042
1607254254980238914,-8.50151634216,-5.21144723892,1.5750181675
1607254254981668949,-8.5020608902,-5.21130847931,1.57491564751
1607254255005270004,-8.50262546539,-5.21117782593,1.57481360435
1607254255005646944,-8.50320720673,-5.21104812622,1.57471013069
1607254255005759000,-8.50209999084,-5.21188640594,1.57527244091
1607254255005852937,-8.50267028809,-5.21176767349,1.57515525818
1607254255019471883,-8.50325965881,-5.21164703369,1.57503426075
1607254255019793987,-8.5038728714,-5.21153688431,1.57490682602
1607254255020036935,-8.50449848175,-5.21142339706,1.57477462292
1607254255021186113,-8.50513935089,-5.21131277084,1.57463729382
1607254255033263921,-8.50556945801,-5.21131229401,1.57505226135
1607254255033571958,-8.50624275208,-5.21121406555,1.57491266727
1607254255036164999,-8.50693321228,-5.21111726761,1.57476472855
1607254255044576883,-8.5076417923,-5.21102237701,1.57461249828
1607254255046191930,-8.50837135315,-5.210916996,1.57445752621
1607254255051115989,-8.50912189484,-5.2108168602,1.57429516315
1607254255056037902,-8.50989437103,-5.21071624756,1.57412707806
1607254255063030004,-8.50896549225,-5.21104240417,1.57465684414
1607254255066174030,-8.50973701477,-5.21095180511,1.57450592518
1607254255071448087,-8.5105266571,-5.21086168289,1.57435071468
1607254255076921939,-8.51137828827,-5.21076250076,1.57411241531
1607254255081167936,-8.51221942902,-5.21066999435,1.57392144203
1607254255086276054,-8.5130815506,-5.21057796478,1.57372546196
1607254255096430063,-8.51314640045,-5.21038579941,1.57451272011
1607254255096736907,-8.51405715942,-5.2102804184,1.57429516315
1607254255101337909,-8.51498985291,-5.2101726532,1.57406461239
1607254255110532999,-8.5159444809,-5.21006298065,1.57381045818
1607254255111253023,-8.5169172287,-5.20995187759,1.57354986668
1607254255116086959,-8.51791000366,-5.20983934402,1.57327544689
1607254255121248006,-8.51892471313,-5.20972776413,1.57299876213
1607254255128912925,-8.51838493347,-5.20989894867,1.5739222765
1607254255131097078,-8.51943016052,-5.20979166031,1.57365322113
1607254255136233091,-8.52050018311,-5.20968341827,1.57337367535
1607254255144140005,-8.52158164978,-5.20956993103,1.57309997082
1607254255146156072,-8.52268886566,-5.20945692062,1.57280373573
1607254255151226997,-8.52381801605,-5.20934152603,1.57249760628
1607254255156759977,-8.52495956421,-5.20922422409,1.57217931747
1607254255175889015,-8.52557945251,-5.20841932297,1.57275879383
1607254255176239967,-8.52675056458,-5.20827770233,1.57243347168
1607254255176350116,-8.52794647217,-5.208132267,1.5721000433
1607254255185507059,-8.52915859222,-5.20798635483,1.5717561245
1607254255185811042,-8.53039169312,-5.20783805847,1.57140100002
1607254255186070919,-8.53163719177,-5.20769166946,1.57103145123
1607254255196270942,-8.53365898132,-5.20812702179,1.57059013844
1607254255197320938,-8.53495883942,-5.20799255371,1.57020485401
1607254255201215982,-8.53627109528,-5.20786333084,1.56980288029
1607254255209609031,-8.53760623932,-5.20772981644,1.56939041615
1607254255211210966,-8.5389585495,-5.20759630203,1.5689637661
1607254255216183900,-8.54033946991,-5.20746278763,1.56851100922
1607254255221185922,-8.54173946381,-5.2073302269,1.56805145741
1607254255228941917,-8.54258728027,-5.20796108246,1.568354249
1607254255231129884,-8.54403400421,-5.20784425735,1.56787359715
1607254255236119985,-8.54550933838,-5.20773267746,1.56739735603
1607254255243151903,-8.54700279236,-5.20761919022,1.56689894199
1607254255245985031,-8.5485200882,-5.20750665665,1.56638836861
1607254255251415967,-8.55006313324,-5.20739173889,1.56586945057
1607254255256335973,-8.5500125885,-5.20793533325,1.56598770618
1607254255262207984,-8.55157375336,-5.20783805847,1.56547617912
1607254255266236066,-8.55316352844,-5.20773124695,1.56496620178
1607254255271233081,-8.55477714539,-5.20762825012,1.56443893909
1607254255276894092,-8.55641460419,-5.20752429962,1.56390225887
1607254255281136989,-8.55808925629,-5.20742034912,1.56335103512
1607254255286026954,-8.55978775024,-5.20731496811,1.5627938509
1607254255295345067,-8.56151580811,-5.20720863342,1.5622279644
1607254255296011924,-8.5614862442,-5.20753669739,1.5631172657
1607254255301136970,-8.56325817108,-5.20743227005,1.56256055832
1607254255309478998,-8.56505775452,-5.20732736588,1.56199705601
1607254255311243057,-8.56688594818,-5.20721912384,1.561439991
1607254255316077947,-8.56874752045,-5.20710945129,1.56087219715
1607254255321235895,-8.57064437866,-5.20699691772,1.56029975414
1607254255329411983,-8.57232379913,-5.20711326599,1.56125092506
1607254255331000089,-8.57429504395,-5.20699214935,1.56073737144
1607254255336018085,-8.57630157471,-5.20687055588,1.56020963192
1607254255343502044,-8.57834148407,-5.20674467087,1.55968248844
1607254255346324920,-8.58043575287,-5.20661687851,1.55916380882
1607254255351249933,-8.58255958557,-5.20648431778,1.55864262581
1607254255356087923,-8.5847196579,-5.20634889603,1.55812489986
1607254255362195014,-8.58722305298,-5.20596170425,1.55855619907
1607254255366234064,-8.58947086334,-5.20580244064,1.55807495117
1607254255371290922,-8.59175777435,-5.20563840866,1.55759727955
1607254255377080917,-8.59409809113,-5.20546245575,1.55710566044
1607254255381263971,-8.59647083282,-5.20528268814,1.55662214756
1607254255389244079,-8.59888267517,-5.20509624481,1.55613839626
